x,m,y,n,y,n,z,q,y,n,y,p,z,w,q
ComputerConfiguration,main,ComputerBuilder:1,buildComputer,ComputerBuilder:1,buildComputer,StandardComputerBuilder:1,addMotherboard,ComputerBuilder:1,buildComputer,ComputerBuilder:1,getComputer,StandardComputerBuilder:1,HighEndComputerBuilder:1,addMotherboard
ComputerConfiguration,main,ComputerBuilder:1,buildComputer,ComputerBuilder:1,buildComputer,StandardComputerBuilder:1,addProcessor,ComputerBuilder:1,buildComputer,ComputerBuilder:1,getComputer,StandardComputerBuilder:1,HighEndComputerBuilder:1,addProcessor
ComputerConfiguration,main,ComputerBuilder:1,buildComputer,ComputerBuilder:1,buildComputer,StandardComputerBuilder:1,setupMotherboard,ComputerBuilder:1,buildComputer,ComputerBuilder:1,getComputer,StandardComputerBuilder:1,HighEndComputerBuilder:1,setupMotherboard
ComputerConfiguration,main,ComputerBuilder:2,buildComputer,ComputerBuilder:2,buildComputer,HighEndComputerBuilder:1,addMotherboard,ComputerBuilder:2,buildComputer,ComputerBuilder:2,getComputer,HighEndComputerBuilder:1,StandardComputerBuilder:1,addMotherboard
ComputerConfiguration,main,ComputerBuilder:2,buildComputer,ComputerBuilder:2,buildComputer,HighEndComputerBuilder:1,addProcessor,ComputerBuilder:2,buildComputer,ComputerBuilder:2,getComputer,HighEndComputerBuilder:1,StandardComputerBuilder:1,addProcessor
ComputerConfiguration,main,ComputerBuilder:2,buildComputer,ComputerBuilder:2,buildComputer,HighEndComputerBuilder:1,setupMotherboard,ComputerBuilder:2,buildComputer,ComputerBuilder:2,getComputer,HighEndComputerBuilder:1,StandardComputerBuilder:1,setupMotherboard
