"main", "52", "SYSTEM", "Method Call", "caller=Ljava/lang/invoke/MethodHandleNatives;.linkCallSiteImpl(Ljava/lang/Class;Ljava/lang/invoke/MethodHandle;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/Object;[Ljava/lang/Object;), target=Ljava/lang/invoke/CallSite;.makeSite(Ljava/lang/invoke/MethodHandle;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/Object;Ljava/lang/Class;)"
"main", "53", "SYSTEM", "Method Call", "caller=Ljava/lang/invoke/CallSite;.makeSite(Ljava/lang/invoke/MethodHandle;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/Object;Ljava/lang/Class;), target=Ljava/lang/invoke/LambdaForm$MH/1191747167;.invoke_MT(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)"
"main", "54", "SYSTEM", "Method Call", "caller=Ljava/lang/invoke/LambdaForm$MH/1191747167;.invoke_MT(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;), target=Ljava/lang/invoke/LambdaForm$BMH/142638629;.reinvoke(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)"
"main", "55", "SYSTEM", "Method Call", "caller=Ljava/lang/invoke/LambdaForm$BMH/142638629;.reinvoke(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;), target=Ljava/lang/invoke/LambdaForm$DMH/125130493;.invokeStatic_L6_L(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)"
"main", "56", "SYSTEM", "Method Call", "caller=Ljava/lang/invoke/LambdaForm$DMH/125130493;.invokeStatic_L6_L(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;), target=Ljava/lang/invoke/LambdaMetafactory;.metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;)"
"main", "57", "SYSTEM", "Method Call", "caller=Ljava/lang/invoke/LambdaMetafactory;.metafactory(Ljava/lang/invoke/MethodHandles$Lookup;Ljava/lang/String;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodType;Ljava/lang/invoke/MethodHandle;Ljava/lang/invoke/MethodType;), target=Ljava/lang/invoke/InnerClassLambdaMetafactory;.buildCallSite()"
"main", "58", "SYSTEM", "Method Call", "caller=Ljava/lang/invoke/InnerClassLambdaMetafactory;.buildCallSite(), target=Ljava/lang/reflect/Constructor;.newInstance([Ljava/lang/Object;)"
"main", "59", "SYSTEM", "Method Call", "caller=Ljava/lang/reflect/Constructor;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;)"
"main", "60", "SYSTEM", "Method Call", "caller=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance([Ljava/lang/Object;)"
"main", "61", "SYSTEM", "Method Call", "caller=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance0(Ljava/lang/reflect/Constructor;[Ljava/lang/Object;)"
