x,m,z,n,z,n,y,n,y,z,n,z,y
CH.ifa.draw.samples.javadraw.MySelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.DragTracker:1,mouseDown,CH.ifa.draw.standard.DragTracker:1,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:1
CH.ifa.draw.samples.javadraw.MySelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.DragTracker:2,mouseDown,CH.ifa.draw.standard.DragTracker:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:2
CH.ifa.draw.samples.javadraw.MySelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.DragTracker:3,mouseDown,CH.ifa.draw.standard.DragTracker:3,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:3
CH.ifa.draw.standard.StandardDrawingView:1,mouseDragged,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.DragTracker:1,mouseDrag,CH.ifa.draw.standard.DragTracker:1,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:1
CH.ifa.draw.standard.StandardDrawingView:1,mouseDragged,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.DragTracker:3,mouseDrag,CH.ifa.draw.standard.DragTracker:3,CH.ifa.draw.standard.SelectionTool:1,mouseDrag,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:3
