x,m,y,n,y,n,z,p,z,p,y,q,y,q,z,y,z
SYSTEM,SYSTEM,CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:5,mouseDown,CH.ifa.draw.standard.CreationTool:5,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.StandardDrawingView:1,tool,CH.ifa.draw.standard.CreationTool:5,CH.ifa.draw.standard.StandardDrawingView:1,CH.ifa.draw.standard.CreationTool:5
