x,m,y,n,y,n,z,p,y,n,z
CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1,AnimationDecorator,CH.ifa.draw.samples.javadraw.BouncingDrawing:1,add,CH.ifa.draw.samples.javadraw.AnimationDecorator:1
