"main", "65", "FactoryCreator.java:12", "Line Step", "file=FactoryCreator.java, line=12"
"main", "66", "FactoryCreator.java:13", "Line Step", "file=FactoryCreator.java, line=13"
"main", "67", "SYSTEM", "Type Load", "class=SourceFactory"
"main", "68", "FactoryCreator.java:13", "New Object", "object=SourceFactory:1"
"main", "69", "FactoryCreator.java:13", "Method Call", "caller=FactoryCreator#getSourceCourseFactory:2, target=SourceFactory:1#SourceFactory:1"
"main", "70", "SourceFactory.java:2", "Method Entered", ""
"main", "71", "SourceFactory.java:2", "Line Step", "file=SourceFactory.java, line=2"
"main", "72", "SourceFactory.java:2", "Method Call", "caller=SourceFactory:1#SourceFactory:1, target=SourceCourseFactory:2#SourceCourseFactory:2"
"main", "73", "SourceCourseFactory.java:2", "Method Entered", ""
"main", "74", "SourceCourseFactory.java:2", "Line Step", "file=SourceCourseFactory.java, line=2"
"main", "75", "SourceCourseFactory.java:2", "Method Exit", "returner=SourceCourseFactory:2#SourceCourseFactory:2, value=<void>"
"main", "76", "SourceFactory.java:2", "Method Returned", ""
"main", "77", "SourceFactory.java:2", "Line Step", "file=SourceFactory.java, line=2"
"main", "78", "SourceFactory.java:2", "Method Exit", "returner=SourceFactory:1#SourceFactory:1, value=<void>"
"main", "79", "FactoryCreator.java:13", "Method Returned", ""
"main", "80", "FactoryCreator.java:13", "Line Step", "file=FactoryCreator.java, line=13"
"main", "81", "FactoryCreator.java:13", "Variable Write", "context=FactoryCreator#getSourceCourseFactory:2, result=SourceFactory:1"
"main", "82", "FactoryCreator.java:13", "Method Exit", "returner=FactoryCreator#getSourceCourseFactory:2, value=SourceFactory:1"
"main", "83", "CourseMain.java:10", "Method Returned", ""
"main", "84", "CourseMain.java:10", "Line Step", "file=CourseMain.java, line=10"
"main", "85", "CourseMain.java:10", "Variable Write", "context=CourseMain#main:1, source=SourceFactory:1"
"main", "86", "CourseMain.java:11", "Line Step", "file=CourseMain.java, line=11"
"main", "87", "CourseMain.java:11", "Method Call", "caller=CourseMain#main:1, target=SourceFactory:1#getSource:1"
"main", "88", "SourceFactory.java:7", "Method Entered", ""
"main", "89", "SourceFactory.java:7", "Variable Write", "context=SourceFactory:1#getSource:1, sourceType=""online"""
"main", "90", "SourceFactory.java:9", "Line Step", "file=SourceFactory.java, line=9"
"main", "91", "SourceFactory.java:11", "Line Step", "file=SourceFactory.java, line=11"
"main", "92", "SYSTEM", "Type Load", "class=Online"
"main", "93", "SourceFactory.java:11", "New Object", "object=Online:1"
"main", "94", "SourceFactory.java:11", "Method Call", "caller=SourceFactory:1#getSource:1, target=Online:1#Online:1"
"main", "95", "Online.java:1", "Method Entered", ""
"main", "96", "Online.java:1", "Line Step", "file=Online.java, line=1"
"main", "97", "Online.java:1", "Method Exit", "returner=Online:1#Online:1, value=<void>"
"main", "98", "SourceFactory.java:11", "Method Returned", ""
"main", "99", "SourceFactory.java:11", "Line Step", "file=SourceFactory.java, line=11"
"main", "100", "SourceFactory.java:11", "Variable Write", "context=SourceFactory:1#getSource:1, result=Online:1"
"main", "101", "SourceFactory.java:11", "Method Exit", "returner=SourceFactory:1#getSource:1, value=Online:1"
"main", "102", "CourseMain.java:11", "Method Returned", ""
"main", "103", "CourseMain.java:11", "Line Step", "file=CourseMain.java, line=11"
"main", "104", "CourseMain.java:11", "Method Call", "caller=CourseMain#main:1, target=Online:1#getSourceName:1"
"main", "105", "Online.java:4", "Method Entered", ""
"main", "106", "Online.java:6", "Line Step", "file=Online.java, line=6"
"main", "107", "Online.java:6", "Variable Write", "context=Online:1#getSourceName:1, result=""YouTube"""
"main", "108", "Online.java:6", "Method Exit", "returner=Online:1#getSourceName:1, value=""YouTube"""
"main", "109", "CourseMain.java:11", "Method Returned", ""
"main", "110", "CourseMain.java:11", "Line Step", "file=CourseMain.java, line=11"
"main", "111", "CourseMain.java:13", "Line Step", "file=CourseMain.java, line=13"
"main", "112", "CourseMain.java:13", "Method Exit", "returner=CourseMain#main:1, value=<void>"
"main", "113", "CourseMain.java:6", "Method Returned", ""
"main", "114", "SYSTEM", "Thread End", ""
"SYSTEM", "115", "SYSTEM", "System End", ""
