x,m,y,n,y,n,z,p,z,p,y,q,y,q,z,y,z
SYSTEM,SYSTEM,CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,findHandle,CH.ifa.draw.standard.StandardDrawingView:1,tool,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.StandardDrawingView:1,CH.ifa.draw.standard.SelectionTool:1
SYSTEM,SYSTEM,CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,freezeView,CH.ifa.draw.standard.StandardDrawingView:1,tool,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.StandardDrawingView:1,CH.ifa.draw.standard.SelectionTool:1
SYSTEM,SYSTEM,CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.StandardDrawingView:1,unfreezeView,CH.ifa.draw.standard.StandardDrawingView:1,tool,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.StandardDrawingView:1,CH.ifa.draw.standard.SelectionTool:1
