x,m,z,n,z,n,y,n,y,z,n,z,y
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:14,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:14,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:14
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:2,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:2
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:3,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:3,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:3
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:4,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:4,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:4
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:5,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:5,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:5
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:6,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:6,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:6
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:7,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:7,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:7
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:8,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:8,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:8
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:9,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:9,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:9
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:1,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:1
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:10,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:10,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:10
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:11,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:11,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:11
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:12,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:12,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:12
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:13,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:13,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:13
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:14,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:14,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:14
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:2,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:2,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:2
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:3,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:3,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:3
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:4,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:4,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:4
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:5,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:5,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:5
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:6,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:6,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:6
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:7,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:7,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:7
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:8,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:8,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:8
CH.ifa.draw.standard.StandardDrawingView:1,mouseReleased,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:9,mouseUp,CH.ifa.draw.standard.SelectAreaTracker:9,CH.ifa.draw.standard.SelectionTool:1,mouseUp,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:9
