SYSTEM," ""1"""," ""SYSTEM"""," ""System Start"""," """"",,,
main," ""58"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""59"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.Iconkit:1"," fRegisteredImages=java.util.Vector (id=130)""",,
main," ""60"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""61"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.Iconkit:1"," fComponent=CH.ifa.draw.samples.net.NetApp:1""",,
main," ""62"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""63"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.Iconkit"," fgIconkit=CH.ifa.draw.util.Iconkit:1""",,
main," ""64"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""65"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.util.Iconkit:1#CH.ifa.draw.util.Iconkit:1"," value=<void>""",,
main," ""66"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""67"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""68"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.application.DrawApplication:1"," fIconkit=CH.ifa.draw.util.Iconkit:1""",,
main," ""69"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""70"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""71"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#open:1"," target=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1""",,
main," ""72"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""73"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""74"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1"," target=CH.ifa.draw.application.DrawApplication:1#getDrawingViewSize:1""",,
main," ""75"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""76"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""77"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#getDrawingViewSize:1"," result=java.awt.Dimension (id=133)""",,
main," ""78"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.application.DrawApplication:1#getDrawingViewSize:1"," value=java.awt.Dimension (id=133)""",,
main," ""79"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""80"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""81"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1"," d=java.awt.Dimension (id=133)""",,
main," ""82"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""83"""," ""SYSTEM"""," ""Type Load"""," ""class=java.awt.image.ImageObserver""",,,
main," ""84"""," ""SYSTEM"""," ""Type Load"""," ""class=java.awt.Panel""",,,
main," ""85"""," ""SYSTEM"""," ""Type Load"""," ""class=CH.ifa.draw.standard.StandardDrawingView""",,,
main," ""86"""," ""SYSTEM"""," ""New Object"""," ""object=CH.ifa.draw.standard.StandardDrawingView:1""",,,
main," ""87"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1"," target=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""88"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""89"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," editor=CH.ifa.draw.samples.net.NetApp:1""",,
main," ""90"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," width=400""",,
main," ""91"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," height=600""",,
main," ""92"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""93"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""94"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fDamage=null""",,
main," ""95"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""96"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fBackgrounds=null""",,
main," ""97"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""98"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fForegrounds=null""",,
main," ""99"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""100"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," drawingViewSerializedDataVersion=1""",,
main," ""101"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""102"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fEditor=CH.ifa.draw.samples.net.NetApp:1""",,
main," ""103"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""104"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fViewSize=java.awt.Dimension (id=149)""",,
main," ""105"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""106"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fLastClick=java.awt.Point (id=150)""",,
main," ""107"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""108"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fConstrainer=null""",,
