"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "227", "ContactInfo.java:175", "Method Exit", "returner=Contact:2#getName:9, value=""Jane Doe"""
"main", "228", "ContactInfo.java:85", "Method Returned", ""
"main", "229", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "230", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:4#getName:10"
"main", "231", "ContactInfo.java:174", "Method Entered", ""
"main", "232", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "233", "ContactInfo.java:175", "Field Read", "context=Contact:4, name"
"main", "234", "ContactInfo.java:175", "Variable Write", "context=Contact:4#getName:10, result=""Tom Tommings"""
"main", "235", "ContactInfo.java:175", "Method Exit", "returner=Contact:4#getName:10, value=""Tom Tommings"""
"main", "236", "ContactInfo.java:85", "Method Returned", ""
"main", "237", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "238", "ContactInfo.java:84", "Line Step", "file=ContactInfo.java, line=84"
"main", "239", "ContactInfo.java:83", "Line Step", "file=ContactInfo.java, line=83"
"main", "240", "ContactInfo.java:83", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, i=2"
"main", "241", "ContactInfo.java:83", "Variable Delete", "method=AscendingNameIterator:1#sortAscendingByName:1 <name=j,type=int (id=7),value=<?>,index=3>"
"main", "242", "ContactInfo.java:84", "Line Step", "file=ContactInfo.java, line=84"
"main", "243", "ContactInfo.java:84", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, j=3"
"main", "244", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "245", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:1#getName:11"
"main", "246", "ContactInfo.java:174", "Method Entered", ""
"main", "247", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "248", "ContactInfo.java:175", "Field Read", "context=Contact:1, name"
"main", "249", "ContactInfo.java:175", "Variable Write", "context=Contact:1#getName:11, result=""John Doe"""
"main", "250", "ContactInfo.java:175", "Method Exit", "returner=Contact:1#getName:11, value=""John Doe"""
"main", "251", "ContactInfo.java:85", "Method Returned", ""
"main", "252", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "253", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:4#getName:12"
"main", "254", "ContactInfo.java:174", "Method Entered", ""
"main", "255", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "256", "ContactInfo.java:175", "Field Read", "context=Contact:4, name"
"main", "257", "ContactInfo.java:175", "Variable Write", "context=Contact:4#getName:12, result=""Tom Tommings"""
"main", "258", "ContactInfo.java:175", "Method Exit", "returner=Contact:4#getName:12, value=""Tom Tommings"""
"main", "259", "ContactInfo.java:85", "Method Returned", ""
"main", "260", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "261", "ContactInfo.java:84", "Line Step", "file=ContactInfo.java, line=84"
"main", "262", "ContactInfo.java:83", "Line Step", "file=ContactInfo.java, line=83"
"main", "263", "ContactInfo.java:83", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, i=3"
"main", "264", "ContactInfo.java:83", "Variable Delete", "method=AscendingNameIterator:1#sortAscendingByName:1 <name=j,type=int (id=7),value=<?>,index=3>"
"main", "265", "ContactInfo.java:84", "Line Step", "file=ContactInfo.java, line=84"
"main", "266", "ContactInfo.java:83", "Line Step", "file=ContactInfo.java, line=83"
"main", "267", "ContactInfo.java:93", "Line Step", "file=ContactInfo.java, line=93"
"main", "268", "ContactInfo.java:93", "Variable Delete", "method=AscendingNameIterator:1#sortAscendingByName:1 <name=i,type=int (id=7),value=<?>,index=2>"
"main", "269", "ContactInfo.java:93", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, result=java.util.LinkedList (id=54)"
"main", "270", "ContactInfo.java:93", "Method Exit", "returner=AscendingNameIterator:1#sortAscendingByName:1, value=java.util.LinkedList (id=54)"
"main", "271", "ContactInfo.java:76", "Method Returned", ""
"main", "272", "ContactInfo.java:76", "Line Step", "file=ContactInfo.java, line=76"
"main", "273", "ContactInfo.java:76", "Field Write", "context=AscendingNameIterator:1, sortedContactBook=java.util.LinkedList (id=54)"
"main", "274", "ContactInfo.java:77", "Line Step", "file=ContactInfo.java, line=77"
"main", "275", "ContactInfo.java:77", "Field Write", "context=AscendingNameIterator:1, currentPosition=0"
"main", "276", "ContactInfo.java:78", "Line Step", "file=ContactInfo.java, line=78"
"main", "277", "ContactInfo.java:78", "Method Exit", "returner=AscendingNameIterator:1#AscendingNameIterator:1, value=<void>"
"main", "278", "ContactInfo.java:57", "Method Returned", ""
"main", "279", "ContactInfo.java:57", "Line Step", "file=ContactInfo.java, line=57"
"main", "280", "ContactInfo.java:57", "Variable Write", "context=ContactBook:1#createAscendingNameIterator:1, result=AscendingNameIterator:1"
"main", "281", "ContactInfo.java:57", "Method Exit", "returner=ContactBook:1#createAscendingNameIterator:1, value=AscendingNameIterator:1"
"main", "282", "ContactInfo.java:24", "Method Returned", ""
"main", "283", "ContactInfo.java:24", "Line Step", "file=ContactInfo.java, line=24"
"main", "284", "ContactInfo.java:24", "Variable Write", "context=ContactInfo#main:1, nameIterator=AscendingNameIterator:1"
"main", "285", "ContactInfo.java:26", "Line Step", "file=ContactInfo.java, line=26"
"main", "286", "ContactInfo.java:26", "Method Call", "caller=ContactInfo#main:1, target=AscendingNameIterator:1#hasNext:1"
"main", "287", "ContactInfo.java:97", "Method Entered", ""
"main", "288", "ContactInfo.java:98", "Line Step", "file=ContactInfo.java, line=98"
"main", "289", "ContactInfo.java:98", "Field Read", "context=AscendingNameIterator:1, currentPosition"
"main", "290", "ContactInfo.java:98", "Field Read", "context=AscendingNameIterator:1, sortedContactBook"
"main", "291", "ContactInfo.java:98", "Variable Write", "context=AscendingNameIterator:1#hasNext:1, result=true"
"main", "292", "ContactInfo.java:98", "Method Exit", "returner=AscendingNameIterator:1#hasNext:1, value=true"
"main", "293", "ContactInfo.java:26", "Method Returned", ""
"main", "294", "ContactInfo.java:26", "Line Step", "file=ContactInfo.java, line=26"
"main", "295", "ContactInfo.java:27", "Line Step", "file=ContactInfo.java, line=27"
"main", "296", "ContactInfo.java:27", "Method Call", "caller=ContactInfo#main:1, target=AscendingNameIterator:1#next:1"
"main", "297", "ContactInfo.java:102", "Method Entered", ""
"main", "298", "ContactInfo.java:103", "Line Step", "file=ContactInfo.java, line=103"
