"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "76", "ContactInfo.java:169", "Line Step", "file=ContactInfo.java, line=169"
"main", "77", "ContactInfo.java:169", "Field Write", "context=Contact:4, name=""Tom Tommings"""
"main", "78", "ContactInfo.java:170", "Line Step", "file=ContactInfo.java, line=170"
"main", "79", "ContactInfo.java:170", "Field Write", "context=Contact:4, phoneNumber=""0495812451"""
"main", "80", "ContactInfo.java:171", "Line Step", "file=ContactInfo.java, line=171"
"main", "81", "ContactInfo.java:171", "Field Write", "context=Contact:4, birthYear=2001"
"main", "82", "ContactInfo.java:172", "Line Step", "file=ContactInfo.java, line=172"
"main", "83", "ContactInfo.java:172", "Method Exit", "returner=Contact:4#Contact:4, value=<void>"
"main", "84", "ContactInfo.java:14", "Method Returned", ""
"main", "85", "ContactInfo.java:14", "Line Step", "file=ContactInfo.java, line=14"
"main", "86", "ContactInfo.java:14", "Variable Write", "context=ContactInfo#main:1, tom=Contact:4"
"main", "87", "ContactInfo.java:15", "Line Step", "file=ContactInfo.java, line=15"
"main", "88", "ContactInfo.java:16", "Line Step", "file=ContactInfo.java, line=16"
"main", "89", "ContactInfo.java:17", "Line Step", "file=ContactInfo.java, line=17"
"main", "90", "ContactInfo.java:18", "Line Step", "file=ContactInfo.java, line=18"
"main", "91", "ContactInfo.java:19", "Line Step", "file=ContactInfo.java, line=19"
"main", "92", "SYSTEM", "Type Load", "class=ContactBook"
"main", "93", "ContactInfo.java:19", "New Object", "object=ContactBook:1"
"main", "94", "ContactInfo.java:19", "Method Call", "caller=ContactInfo#main:1, target=ContactBook:1#ContactBook:1"
"main", "95", "ContactInfo.java:51", "Method Entered", ""
"main", "96", "ContactInfo.java:51", "Variable Write", "context=ContactBook:1#ContactBook:1, contact=java.util.ArrayList (id=23)"
"main", "97", "ContactInfo.java:51", "Line Step", "file=ContactInfo.java, line=51"
"main", "98", "ContactInfo.java:52", "Line Step", "file=ContactInfo.java, line=52"
"main", "99", "ContactInfo.java:52", "Field Write", "context=ContactBook:1, contacts=java.util.ArrayList (id=23)"
"main", "100", "ContactInfo.java:53", "Line Step", "file=ContactInfo.java, line=53"
"main", "101", "ContactInfo.java:53", "Method Exit", "returner=ContactBook:1#ContactBook:1, value=<void>"
"main", "102", "ContactInfo.java:19", "Method Returned", ""
"main", "103", "ContactInfo.java:19", "Line Step", "file=ContactInfo.java, line=19"
"main", "104", "ContactInfo.java:19", "Variable Write", "context=ContactInfo#main:1, contactBook=ContactBook:1"
"main", "105", "ContactInfo.java:24", "Line Step", "file=ContactInfo.java, line=24"
"main", "106", "ContactInfo.java:24", "Method Call", "caller=ContactInfo#main:1, target=ContactBook:1#createAscendingNameIterator:1"
"main", "107", "ContactInfo.java:56", "Method Entered", ""
"main", "108", "ContactInfo.java:57", "Line Step", "file=ContactInfo.java, line=57"
"main", "109", "SYSTEM", "Type Load", "class=AscendingNameIterator"
"main", "110", "ContactInfo.java:57", "Field Read", "context=ContactBook:1, contacts"
"main", "111", "ContactInfo.java:57", "New Object", "object=AscendingNameIterator:1"
"main", "112", "ContactInfo.java:57", "Method Call", "caller=ContactBook:1#createAscendingNameIterator:1, target=AscendingNameIterator:1#AscendingNameIterator:1"
"main", "113", "ContactInfo.java:75", "Method Entered", ""
"main", "114", "ContactInfo.java:75", "Variable Write", "context=AscendingNameIterator:1#AscendingNameIterator:1, contactList=java.util.ArrayList (id=23)"
"main", "115", "ContactInfo.java:75", "Line Step", "file=ContactInfo.java, line=75"
"main", "116", "ContactInfo.java:76", "Line Step", "file=ContactInfo.java, line=76"
"main", "117", "ContactInfo.java:76", "Method Call", "caller=AscendingNameIterator:1#AscendingNameIterator:1, target=AscendingNameIterator:1#sortAscendingByName:1"
"main", "118", "ContactInfo.java:80", "Method Entered", ""
"main", "119", "ContactInfo.java:80", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, contactList=java.util.ArrayList (id=23)"
"main", "120", "ContactInfo.java:81", "Line Step", "file=ContactInfo.java, line=81"
"main", "121", "ContactInfo.java:81", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, sortedContactBook=java.util.LinkedList (id=54)"
"main", "122", "ContactInfo.java:83", "Line Step", "file=ContactInfo.java, line=83"
"main", "123", "ContactInfo.java:83", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, i=0"
"main", "124", "ContactInfo.java:84", "Line Step", "file=ContactInfo.java, line=84"
"main", "125", "ContactInfo.java:84", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, j=1"
"main", "126", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "127", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:1#getName:1"
"main", "128", "ContactInfo.java:174", "Method Entered", ""
"main", "129", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "130", "ContactInfo.java:175", "Field Read", "context=Contact:1, name"
"main", "131", "ContactInfo.java:175", "Variable Write", "context=Contact:1#getName:1, result=""John Doe"""
"main", "132", "ContactInfo.java:175", "Method Exit", "returner=Contact:1#getName:1, value=""John Doe"""
"main", "133", "ContactInfo.java:85", "Method Returned", ""
"main", "134", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "135", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:2#getName:2"
"main", "136", "ContactInfo.java:174", "Method Entered", ""
"main", "137", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "138", "ContactInfo.java:175", "Field Read", "context=Contact:2, name"
"main", "139", "ContactInfo.java:175", "Variable Write", "context=Contact:2#getName:2, result=""Jane Doe"""
"main", "140", "ContactInfo.java:175", "Method Exit", "returner=Contact:2#getName:2, value=""Jane Doe"""
"main", "141", "ContactInfo.java:85", "Method Returned", ""
"main", "142", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "143", "ContactInfo.java:86", "Line Step", "file=ContactInfo.java, line=86"
"main", "144", "ContactInfo.java:86", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, tempContact=Contact:1"
"main", "145", "ContactInfo.java:87", "Line Step", "file=ContactInfo.java, line=87"
"main", "146", "ContactInfo.java:88", "Line Step", "file=ContactInfo.java, line=88"
"main", "147", "ContactInfo.java:84", "Line Step", "file=ContactInfo.java, line=84"
"main", "148", "ContactInfo.java:84", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, j=2"
"main", "149", "ContactInfo.java:84", "Variable Delete", "method=AscendingNameIterator:1#sortAscendingByName:1 <name=tempContact,type=Contact (id=93),value=<?>,index=4>"
"main", "150", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "151", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:2#getName:3"
"main", "152", "ContactInfo.java:174", "Method Entered", ""
"main", "153", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "154", "ContactInfo.java:175", "Field Read", "context=Contact:2, name"
"main", "155", "ContactInfo.java:175", "Variable Write", "context=Contact:2#getName:3, result=""Jane Doe"""
"main", "156", "ContactInfo.java:175", "Method Exit", "returner=Contact:2#getName:3, value=""Jane Doe"""
"main", "157", "ContactInfo.java:85", "Method Returned", ""
"main", "158", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "159", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:3#getName:4"
"main", "160", "ContactInfo.java:174", "Method Entered", ""
"main", "161", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "162", "ContactInfo.java:175", "Field Read", "context=Contact:3, name"
"main", "163", "ContactInfo.java:175", "Variable Write", "context=Contact:3#getName:4, result=""Bob Bobbings"""
"main", "164", "ContactInfo.java:175", "Method Exit", "returner=Contact:3#getName:4, value=""Bob Bobbings"""
"main", "165", "ContactInfo.java:85", "Method Returned", ""
"main", "166", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "167", "ContactInfo.java:86", "Line Step", "file=ContactInfo.java, line=86"
"main", "168", "ContactInfo.java:86", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, tempContact=Contact:2"
"main", "169", "ContactInfo.java:87", "Line Step", "file=ContactInfo.java, line=87"
"main", "170", "ContactInfo.java:88", "Line Step", "file=ContactInfo.java, line=88"
"main", "171", "ContactInfo.java:84", "Line Step", "file=ContactInfo.java, line=84"
"main", "172", "ContactInfo.java:84", "Variable Write", "context=AscendingNameIterator:1#sortAscendingByName:1, j=3"
"main", "173", "ContactInfo.java:84", "Variable Delete", "method=AscendingNameIterator:1#sortAscendingByName:1 <name=tempContact,type=Contact (id=93),value=<?>,index=4>"
"main", "174", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "175", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:3#getName:5"
"main", "176", "ContactInfo.java:174", "Method Entered", ""
"main", "177", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "178", "ContactInfo.java:175", "Field Read", "context=Contact:3, name"
"main", "179", "ContactInfo.java:175", "Variable Write", "context=Contact:3#getName:5, result=""Bob Bobbings"""
"main", "180", "ContactInfo.java:175", "Method Exit", "returner=Contact:3#getName:5, value=""Bob Bobbings"""
"main", "181", "ContactInfo.java:85", "Method Returned", ""
"main", "182", "ContactInfo.java:85", "Line Step", "file=ContactInfo.java, line=85"
"main", "183", "ContactInfo.java:85", "Method Call", "caller=AscendingNameIterator:1#sortAscendingByName:1, target=Contact:4#getName:6"
"main", "184", "ContactInfo.java:174", "Method Entered", ""
"main", "185", "ContactInfo.java:175", "Line Step", "file=ContactInfo.java, line=175"
"main", "186", "ContactInfo.java:175", "Field Read", "context=Contact:4, name"
"main", "187", "ContactInfo.java:175", "Variable Write", "context=Contact:4#getName:6, result=""Tom Tommings"""
