"main", "65", "SYSTEM", "Variable Write", "context=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1, path=java.net.URL (id=73)"
"main", "66", "SYSTEM", "Line Step", "<source unavailable>"
"main", "67", "SYSTEM", "Variable Delete", "method=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1 <name=path,type=java.net.URL (id=243),value=<?>,index=1>"
"main", "68", "SYSTEM", "Line Step", "<source unavailable>"
"main", "69", "SYSTEM", "Line Step", "<source unavailable>"
"main", "70", "SYSTEM", "Line Step", "<source unavailable>"
"main", "71", "SYSTEM", "Variable Delete", "method=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1 <name=loggerFactoryClassLoader,type=java.lang.ClassLoader (id=246),value=<?>,index=3>"
"main", "72", "SYSTEM", "Variable Delete", "method=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1 <name=paths,type=java.util.Enumeration (id=241),value=<?>,index=4>"
"main", "73", "SYSTEM", "Variable Delete", "method=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1 <name=implementationList,type=java.util.List (id=216),value=<?>,index=5>"
"main", "74", "SYSTEM", "Line Step", "<source unavailable>"
"main", "75", "SYSTEM", "Line Step", "<source unavailable>"
"main", "76", "SYSTEM", "Method Exit", "returner=org.slf4j.LoggerFactory#singleImplementationSanityCheck:1, value=<void>"
"main", "77", "SYSTEM", "Method Returned", ""
"main", "78", "SYSTEM", "Line Step", "<source unavailable>"
"main", "79", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#performInitialization:1, target=org.slf4j.LoggerFactory#bind:1"
"main", "80", "SYSTEM", "Method Entered", ""
"main", "81", "SYSTEM", "Line Step", "<source unavailable>"
"main", "82", "SYSTEM", "Type Load", "class=org.slf4j.impl.StaticLoggerBinder"
"main", "83", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#bind:1, target=org.slf4j.impl.StaticLoggerBinder#<clinit>:1"
"main", "84", "SYSTEM", "Method Entered", ""
"main", "85", "SYSTEM", "New Object", "object=org.slf4j.impl.StaticLoggerBinder:1"
"main", "86", "SYSTEM", "Method Call", "caller=org.slf4j.impl.StaticLoggerBinder#<clinit>:1, target=org.slf4j.impl.StaticLoggerBinder:1#StaticLoggerBinder:1"
"main", "87", "SYSTEM", "Method Entered", ""
"main", "88", "SYSTEM", "Type Load", "class=org.slf4j.impl.SimpleLoggerFactory"
"main", "89", "SYSTEM", "Method Call", "caller=org.slf4j.impl.StaticLoggerBinder:1#StaticLoggerBinder:1, target=org.slf4j.impl.SimpleLoggerFactory#<clinit>:1"
"main", "90", "SYSTEM", "Method Entered", ""
"main", "91", "SYSTEM", "New Object", "object=org.slf4j.impl.SimpleLoggerFactory:1"
"main", "92", "SYSTEM", "Method Call", "caller=org.slf4j.impl.SimpleLoggerFactory#<clinit>:1, target=org.slf4j.impl.SimpleLoggerFactory:1#SimpleLoggerFactory:1"
"main", "93", "SYSTEM", "Method Entered", ""
"main", "94", "SYSTEM", "Field Write", "context=org.slf4j.impl.SimpleLoggerFactory:1, loggerMap=java.util.HashMap (id=88)"
"main", "95", "SYSTEM", "Method Exit", "returner=org.slf4j.impl.SimpleLoggerFactory:1#SimpleLoggerFactory:1, value=<void>"
"main", "96", "SYSTEM", "Field Write", "context=org.slf4j.impl.SimpleLoggerFactory, INSTANCE=org.slf4j.impl.SimpleLoggerFactory:1"
"main", "97", "SYSTEM", "Method Returned", ""
"main", "98", "SYSTEM", "Method Exit", "returner=org.slf4j.impl.SimpleLoggerFactory#<clinit>:1, value=<void>"
"main", "99", "SYSTEM", "Method Returned", ""
"main", "100", "SYSTEM", "New Object", "object=org.slf4j.impl.SimpleLoggerFactory:2"
"main", "101", "SYSTEM", "Method Call", "caller=org.slf4j.impl.StaticLoggerBinder:1#StaticLoggerBinder:1, target=org.slf4j.impl.SimpleLoggerFactory:2#SimpleLoggerFactory:2"
"main", "102", "SYSTEM", "Method Entered", ""
"main", "103", "SYSTEM", "Field Write", "context=org.slf4j.impl.SimpleLoggerFactory:2, loggerMap=java.util.HashMap (id=92)"
"main", "104", "SYSTEM", "Method Exit", "returner=org.slf4j.impl.SimpleLoggerFactory:2#SimpleLoggerFactory:2, value=<void>"
"main", "105", "SYSTEM", "Field Write", "context=org.slf4j.impl.StaticLoggerBinder:1, loggerFactory=org.slf4j.impl.SimpleLoggerFactory:2"
"main", "106", "SYSTEM", "Method Returned", ""
"main", "107", "SYSTEM", "Method Exit", "returner=org.slf4j.impl.StaticLoggerBinder:1#StaticLoggerBinder:1, value=<void>"
"main", "108", "SYSTEM", "Field Write", "context=org.slf4j.impl.StaticLoggerBinder, SINGLETON=org.slf4j.impl.StaticLoggerBinder:1"
"main", "109", "SYSTEM", "Field Write", "context=org.slf4j.impl.StaticLoggerBinder, REQUESTED_API_VERSION=""1.6"""
"main", "110", "SYSTEM", "Field Write", "context=org.slf4j.impl.StaticLoggerBinder, loggerFactoryClassStr=""org.slf4j.impl.SimpleLoggerFactory"""
"main", "111", "SYSTEM", "Method Returned", ""
"main", "112", "SYSTEM", "Method Exit", "returner=org.slf4j.impl.StaticLoggerBinder#<clinit>:1, value=<void>"
"main", "113", "SYSTEM", "Method Returned", ""
"main", "114", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#bind:1, target=org.slf4j.impl.StaticLoggerBinder#getSingleton:1"
"main", "115", "SYSTEM", "Method Entered", ""
"main", "116", "SYSTEM", "Line Step", "<source unavailable>"
"main", "117", "SYSTEM", "Field Read", "context=org.slf4j.impl.StaticLoggerBinder, SINGLETON"
"main", "118", "SYSTEM", "Variable Write", "context=org.slf4j.impl.StaticLoggerBinder#getSingleton:1, result=org.slf4j.impl.StaticLoggerBinder:1"
"main", "119", "SYSTEM", "Method Exit", "returner=org.slf4j.impl.StaticLoggerBinder#getSingleton:1, value=org.slf4j.impl.StaticLoggerBinder:1"
"main", "120", "SYSTEM", "Method Returned", ""
"main", "121", "SYSTEM", "Line Step", "<source unavailable>"
"main", "122", "SYSTEM", "Line Step", "<source unavailable>"
"main", "123", "SYSTEM", "Field Write", "context=org.slf4j.LoggerFactory, INITIALIZATION_STATE=3"
"main", "124", "SYSTEM", "Line Step", "<source unavailable>"
"main", "125", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#bind:1, target=org.slf4j.LoggerFactory#emitSubstituteLoggerWarning:1"
"main", "126", "SYSTEM", "Method Entered", ""
"main", "127", "SYSTEM", "Line Step", "<source unavailable>"
"main", "128", "SYSTEM", "Field Read", "context=org.slf4j.LoggerFactory, TEMP_FACTORY"
"main", "129", "SYSTEM", "Method Call", "caller=org.slf4j.LoggerFactory#emitSubstituteLoggerWarning:1, target=org.slf4j.helpers.SubstituteLoggerFactory:1#getLoggerNameList:1"
"main", "130", "SYSTEM", "Method Entered", ""
"main", "131", "SYSTEM", "Line Step", "<source unavailable>"
"main", "132", "SYSTEM", "Variable Write", "context=org.slf4j.helpers.SubstituteLoggerFactory:1#getLoggerNameList:1, copy=java.util.ArrayList (id=95)"
"main", "133", "SYSTEM", "Line Step", "<source unavailable>"
